Name,URL,Remote Testing,Adaptive/IRT,Test Types,Job Level,Completion Time,Languages,Description,context
Entry Level Customer Service 7.1 (South Africa),https://www.shl.com/solutions/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,Yes Remote Testing,No IRT,"Competencies, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 19,"English International,","The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","passage: Entry Level Customer Service 7.1 (South Africa) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Competencies, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 19 | Languages: English International, | Description: The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.  “IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas""."
Entry level Sales 7.1 (Americas),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 20,"Portuguese (Brazil),","The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","passage: Entry level Sales 7.1 (Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 20 | Languages: Portuguese (Brazil), | Description: The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer."
Entry level Sales 7.1 (International),https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,Yes Remote Testing,No IRT,"Personalities and behavior, Biodata and situational Judgement, Competencies","Entry-Level,",Approximate Completion Time in minutes = 20,"English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese,","The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA), English International,     Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish.","passage: Entry level Sales 7.1 (International) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Personalities and behavior, Biodata and situational Judgement, Competencies | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 20 | Languages: English (USA), Spanish, Latin American Spanish, French, German, French (Canada), English International, Chinese Simplified, Portuguese, | Description: The Entry Level Sales 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.
Report Language Availability: English (USA), English International,     Portuguese, French Canadian, German, French, Chinese Simplified, Spanish, North American Spanish."
Entry Level Sales Sift Out 7.1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,Yes Remote Testing,No IRT,"Competencies, Personalities and behavior, Biodata and situational Judgement","Entry-Level,",Approximate Completion Time in minutes = 20,"Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German,","The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer","passage: Entry Level Sales Sift Out 7.1 | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Competencies, Personalities and behavior, Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 20 | Languages: Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German, | Description: The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer"
Event Sales Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/event-sales-manager-solution/,Yes Remote Testing,Yes IRT,"Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Supervisor, Front Line Manager, Manager,",Approximate Completion Time in minutes = 50,"English (USA),","The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available.","passage: Event Sales Manager Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Simulations, Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Supervisor, Front Line Manager, Manager, | Completion Time: Approximate Completion Time in minutes = 50 | Languages: English (USA), | Description: The Event Sales Manager solution is designed for management level positions in the hospitality industry. Sample tasks include selling use of facility space for special events and managing staff. The solution is focused on sales, solving problems and making good decisions. Potential job titles that use this solution are: Event Sales Manager, Events Manager and Special Events Manager. Multiple configurations of this solution are available."
Executive - Short Form,https://www.shl.com/solutions/products/product-catalog/view/executive-short-form/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Executive,",Approximate Completion Time in minutes = 74,"English (USA),","The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director.","passage: Executive - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Executive, | Completion Time: Approximate Completion Time in minutes = 74 | Languages: English (USA), | Description: The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director."
Financial Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 35,"English (USA),","This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.","passage: Financial Professional - Short Form | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Mid-Professional, Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 35 | Languages: English (USA), | Description: This solution is for mid-level financial institution positions that require Series 6/7 certification. Candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus."
Financial Services Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/financial-services-representative-solution/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Professional Individual Contributor,",Approximate Completion Time in minutes = 44,"English (USA),","The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. Potential job titles that use this solution are: Life Insurance Sales Professional, Insurance Sales Agent. Multiple configurations of this solution are available.","passage: Financial Services Representative Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Professional Individual Contributor, | Completion Time: Approximate Completion Time in minutes = 44 | Languages: English (USA), | Description: The Financial Services Representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. Sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. Potential job titles that use this solution are: Life Insurance Sales Professional, Insurance Sales Agent. Multiple configurations of this solution are available."
Front Desk Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/front-desk-associate-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Entry-Level,",Approximate Completion Time in minutes = 50,"English (USA),","The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. Potential job titles that use this solution are: Front Desk Clerk, Guest Desk Attendant, Guest Check-in Associate, or Front Office Agent. Multiple configurations of this solution are available.","passage: Front Desk Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 50 | Languages: English (USA), | Description: The Front Desk Associate solution is designed for entry-level customer service positions in the hospitality industry. The solution is appropriate for positions in which the majority of work is done at the front or guest check-in desk. Sample tasks may include: welcoming guests warmly, issuing keys to guests, tabulating guest bills and accpeting payment. Potential job titles that use this solution are: Front Desk Clerk, Guest Desk Attendant, Guest Check-in Associate, or Front Office Agent. Multiple configurations of this solution are available."
Gaming Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-associate-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Entry-Level,",Approximate Completion Time in minutes = 50,"English (USA),","The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused positions that may potentially deal with large sums of money. Sample tasks may include: dealing playing cards, counting and confirming patron bets, collecting patron losses and distributing patron winnings, and exchange currency for playing chips. Potential job titles that use this solution are: Table Games Dealer, Black Jack Dealer, Dealer, Casino Dealer, Dual Rate Dealer, Card Dealer and Gaming Dealer. Multiple configurations of this solution are available.","passage: Gaming Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 50 | Languages: English (USA), | Description: The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused positions that may potentially deal with large sums of money. Sample tasks may include: dealing playing cards, counting and confirming patron bets, collecting patron losses and distributing patron winnings, and exchange currency for playing chips. Potential job titles that use this solution are: Table Games Dealer, Black Jack Dealer, Dealer, Casino Dealer, Dual Rate Dealer, Card Dealer and Gaming Dealer. Multiple configurations of this solution are available."
Gaming Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/gaming-manager-solution/,Yes Remote Testing,Yes IRT,"Simulations, Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 55,"English (USA),","The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors and associates within gaming environments. The solution is focused on security, integrity and managing sales. Potential job titles that use this solution are: Gaming Floor Manager and Gaming Manager. Multiple configurations of this solution are available.","passage: Gaming Manager Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Simulations, Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior | Job Level: Front Line Manager, Manager, Supervisor, | Completion Time: Approximate Completion Time in minutes = 55 | Languages: English (USA), | Description: The Gaming Manager solution is designed for management level positions within the hospitality industry. Sample tasks include managing operations, supervisors and associates within gaming environments. The solution is focused on security, integrity and managing sales. Potential job titles that use this solution are: Gaming Floor Manager and Gaming Manager. Multiple configurations of this solution are available."
General Entry Level - All Industries 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/,Yes Remote Testing,No IRT,Biodata and situational Judgement,"Entry-Level,",Approximate Completion Time in minutes = 19,"English (USA), English International, French (Canada), Latin American Spanish,","Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","passage: General Entry Level - All Industries 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 19 | Languages: English (USA), English International, French (Canada), Latin American Spanish, | Description: Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector."
General Entry Level - All Industries 7.1 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1-solution/,Yes Remote Testing,No IRT,Biodata and situational Judgement,"Entry-Level,",Approximate Completion Time in minutes = 19,"German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian,","Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector. “MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International.""","passage: General Entry Level - All Industries 7.1 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 19 | Languages: German, Norwegian, Finnish, French (Canada), Portuguese (Brazil), Latin American Spanish, English (USA), English International, Danish, Swedish, French, Italian, | Description: Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector. “MCP Product: please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International."""
General Entry Level - All Industries 7.1(Americas),https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-all-industries-7-1%28americas%29/,Yes Remote Testing,No IRT,Biodata and situational Judgement,"Entry-Level,",Approximate Completion Time in minutes = 19,"Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish,","Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","passage: General Entry Level - All Industries 7.1(Americas) | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 19 | Languages: Portuguese (Brazil), French (Canada), English (USA), Latin American Spanish, | Description: Our General Entry Level – All Industries 7.1 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others.

Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector."
General Entry Level – Data Entry 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Knowledge and Skills","General Population, Entry-Level,",Approximate Completion Time in minutes = 24,"English (USA),","Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner.  

This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)","passage: General Entry Level – Data Entry 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Knowledge and Skills | Job Level: General Population, Entry-Level, | Completion Time: Approximate Completion Time in minutes = 24 | Languages: English (USA), | Description: Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner.  

This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)"
Graduate + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior","Graduate,",Approximate Completion Time in minutes = 30 minutes,"Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese,","The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.","passage: Graduate + 8.0 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior | Job Level: Graduate, | Completion Time: Approximate Completion Time in minutes = 30 minutes | Languages: Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese, | Description: The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution."
Graduate 7.1 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-7-1-job-focused-assessment/,Yes Remote Testing,No IRT,"Biodata and situational Judgement, Competencies","Graduate,",Approximate Completion Time in minutes = 19,"Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil),",The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates.,"passage: Graduate 7.1 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement, Competencies | Job Level: Graduate, | Completion Time: Approximate Completion Time in minutes = 19 | Languages: Chinese Simplified, English (USA), French, German, English International, Italian, Japanese, Latin American Spanish, Polish, Russian, Swedish, Dutch, Portuguese (Brazil), | Description: The Graduate 7.1 Job Focused Assessment is designed for professional level positions appropriate for recent college graduates."
Graduate 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,Yes Remote Testing,No IRT,"Personalities and behavior, Biodata and situational Judgement","Graduate,",Approximate Completion Time in minutes = 20 minutes,"English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish,","The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.","passage: Graduate 8.0 Job Focused Assessment | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Personalities and behavior, Biodata and situational Judgement | Job Level: Graduate, | Completion Time: Approximate Completion Time in minutes = 20 minutes | Languages: English (USA), English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Finnish, Norwegian, Danish, Chinese Traditional, Turkish, Romanian, Japanese, Latin American Spanish, Indonesian, Portuguese (Brazil), Arabic, Polish, | Description: The Graduate 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. It also provides actionable feedback to help you onboard new hires.

It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution."
Guest Service Team 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-service-team-7-0-solution/,Yes Remote Testing,No IRT,Biodata and situational Judgement,"Entry-Level,",Approximate Completion Time in minutes = 18,"French (Canada), Latin American Spanish, English (USA), English International,","Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. 

Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish.","passage: Guest Service Team 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 18 | Languages: French (Canada), Latin American Spanish, English (USA), English International, | Description: Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. 

Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish."
Guest Services Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/guest-services-associate-solution/,Yes Remote Testing,Yes IRT,"Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations","Entry-Level,",Approximate Completion Time in minutes = 48,"English (USA),","The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available.","passage: Guest Services Associate Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: Yes IRT | Test Types: Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 48 | Languages: English (USA), | Description: The Guest Services Associate solution is designed for entry to mid-level customer service positions in the hospitality industry. The solution is for highly customer service focused positions with few to no sales components. Sample tasks may include: providing information on entertainment, dining and transportation to guests, making dining recommentations to guests, arranging transportation for guests, and making reservations. Potential job titles that use this solution are: Concierge, Guest Services Agent, Club Concierge, Hotel Concierge, Front Office Manager and Guest Services Associate. Multiple configurations of this solution are available."
Healthcare Aide 7.0 Solution,https://www.shl.com/solutions/products/product-catalog/view/healthcare-aide-7-0-solution/,Yes Remote Testing,No IRT,Biodata and situational Judgement,"Entry-Level,",Approximate Completion Time in minutes = 22,"English (USA), French (Canada), Latin American Spanish,","Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs.  
Potential job titles that use this solution include: Personal Care Aide, Healthcare Aide, Home Health Aide, Dental Assistant.
Report Language Availability: English (USA), Latin American Spanish.","passage: Healthcare Aide 7.0 Solution | Remote Testing: Yes Remote Testing | Adaptive/IRT: No IRT | Test Types: Biodata and situational Judgement | Job Level: Entry-Level, | Completion Time: Approximate Completion Time in minutes = 22 | Languages: English (USA), French (Canada), Latin American Spanish, | Description: Our Healthcare Aide 7.0 solution is designed for individually-oriented, entry-level positions that directly support another person's health and well-being. The solution covers a wide variety of positions, and assesses behaviors critical for patient support roles including: understanding and following detailed instructions; administering personal care; being respectful and tolerant of patients; preparing and maintaining records of patient progress and services performed; and working hard to meet or exceed patient needs.  
Potential job titles that use this solution include: Personal Care Aide, Healthcare Aide, Home Health Aide, Dental Assistant.
Report Language Availability: English (USA), Latin American Spanish."
